"city","site","raccoon","coyote","rabbit","opossum","skunk","redfox","graysquirrel","foxsquirrel","J","site_code","year"
"chil","447-2-17",4,1,1,13,0,0,0,6,28,"chil-447-2",2017
"chil","448-2-17",14,0,0,4,1,0,6,10,28,"chil-448-2",2017
"chil","453-2-17",26,3,1,3,0,0,4,1,26,"chil-453-2",2017
"chil","455-2-17",4,6,10,5,1,0,0,0,28,"chil-455-2",2017
"chil","298-2-18",0,0,0,0,0,0,2,0,26,"chil-298-2",2018
"chil","299-2-18",1,0,0,0,0,0,0,0,27,"chil-299-2",2018
"chil","301-2-18",0,0,0,0,0,0,3,1,36,"chil-301-2",2018
"chil","303-2-18",0,2,0,0,0,0,0,0,35,"chil-303-2",2018
"chil","304-2-18",24,12,1,0,0,0,20,3,35,"chil-304-2",2018
"chil","305-2-18",1,0,14,1,0,0,23,0,28,"chil-305-2",2018
"chil","306-2-18",0,0,1,0,0,0,25,5,34,"chil-306-2",2018
"chil","309-2-18",6,2,25,3,0,0,28,7,29,"chil-309-2",2018
"chil","310-2-18",17,0,0,0,0,0,0,0,17,"chil-310-2",2018
"chil","314-2-18",0,0,0,0,0,0,0,0,29,"chil-314-2",2018
"chil","315-2-18",0,0,0,0,0,0,1,0,15,"chil-315-2",2018
"chil","316-2-18",0,0,4,0,0,0,3,0,29,"chil-316-2",2018
"chil","317-2-18",2,0,1,5,0,0,21,0,29,"chil-317-2",2018
"chil","318-2-18",0,0,0,0,0,0,0,0,29,"chil-318-2",2018
"chil","319-2-18",0,0,0,0,0,0,0,0,29,"chil-319-2",2018
"chil","320-2-18",27,0,1,14,0,0,19,0,29,"chil-320-2",2018
"chil","324-2-18",0,0,1,0,0,0,0,0,29,"chil-324-2",2018
"chil","326-2-18",0,0,1,0,0,0,0,0,28,"chil-326-2",2018
"chil","328-2-18",7,1,1,1,0,0,19,0,29,"chil-328-2",2018
"chil","329-2-18",0,0,9,0,0,0,2,0,36,"chil-329-2",2018
"chil","330-2-18",2,0,15,2,0,0,10,0,25,"chil-330-2",2018
"chil","332-2-18",7,3,0,0,0,0,2,0,27,"chil-332-2",2018
"chil","334-2-18",0,1,1,0,0,0,14,0,29,"chil-334-2",2018
"chil","335-2-18",0,0,1,0,0,0,0,0,26,"chil-335-2",2018
"chil","338-2-18",13,0,14,24,0,0,16,1,29,"chil-338-2",2018
"chil","339-2-18",0,0,0,0,0,0,4,0,29,"chil-339-2",2018
"chil","341-2-18",10,0,1,1,0,0,0,0,28,"chil-341-2",2018
"chil","342-2-18",2,3,0,0,0,0,2,0,28,"chil-342-2",2018
"chil","343-2-18",4,0,0,2,1,0,0,0,12,"chil-343-2",2018
"chil","344-2-18",0,0,0,0,0,0,0,0,26,"chil-344-2",2018
"chil","347-2-18",3,1,0,0,0,0,3,0,26,"chil-347-2",2018
"chil","349-2-18",0,0,0,0,0,0,1,0,13,"chil-349-2",2018
"chil","352-2-18",2,1,0,0,0,0,7,0,27,"chil-352-2",2018
"chil","353-2-18",3,0,0,0,0,0,0,0,26,"chil-353-2",2018
"chil","354-2-18",8,3,1,0,0,0,9,0,26,"chil-354-2",2018
"chil","356-2-18",0,0,1,0,0,0,4,0,26,"chil-356-2",2018
"chil","357-2-18",0,1,9,1,0,0,10,0,12,"chil-357-2",2018
"chil","358-2-18",0,0,0,0,0,0,0,0,28,"chil-358-2",2018
"chil","359-2-18",0,0,1,0,0,0,1,0,29,"chil-359-2",2018
"chil","364-2-18",5,1,0,0,0,0,1,0,29,"chil-364-2",2018
"chil","366-2-18",0,2,0,0,0,0,0,0,29,"chil-366-2",2018
"chil","367-2-18",7,1,0,0,0,0,0,0,36,"chil-367-2",2018
"chil","369-2-18",0,0,0,0,0,0,0,0,15,"chil-369-2",2018
"chil","370-2-18",20,4,0,5,1,0,14,0,36,"chil-370-2",2018
"chil","372-2-18",9,1,0,2,4,0,0,0,36,"chil-372-2",2018
"chil","373-2-18",6,1,0,2,0,0,4,0,36,"chil-373-2",2018
"chil","375-2-18",1,1,3,0,0,0,0,0,28,"chil-375-2",2018
"chil","376-2-18",17,1,0,0,0,0,0,0,29,"chil-376-2",2018
"chil","378-2-18",4,0,0,1,0,0,8,0,22,"chil-378-2",2018
"chil","379-2-18",7,3,0,18,0,0,7,2,35,"chil-379-2",2018
"chil","380-2-18",27,2,6,0,0,0,6,10,28,"chil-380-2",2018
"chil","381-2-18",8,1,0,2,0,0,1,0,28,"chil-381-2",2018
"chil","382-2-18",1,3,19,12,1,0,4,0,29,"chil-382-2",2018
"chil","383-2-18",4,0,1,1,0,0,1,1,29,"chil-383-2",2018
"chil","384-2-18",19,5,18,11,2,0,17,12,29,"chil-384-2",2018
"chil","386-2-18",11,1,0,4,0,0,5,0,29,"chil-386-2",2018
"chil","389-2-18",0,6,0,1,0,0,0,0,29,"chil-389-2",2018
"chil","390-2-18",3,12,2,10,0,0,19,0,29,"chil-390-2",2018
"chil","393-2-18",1,0,0,0,0,0,0,0,36,"chil-393-2",2018
"chil","394-2-18",8,0,0,0,0,0,4,1,36,"chil-394-2",2018
"chil","395-2-18",6,2,0,0,0,0,1,0,36,"chil-395-2",2018
"chil","396-2-18",2,3,0,1,0,0,0,0,29,"chil-396-2",2018
"chil","397-2-18",12,1,1,0,0,0,0,1,29,"chil-397-2",2018
"chil","398-2-18",17,0,2,16,3,0,21,1,29,"chil-398-2",2018
"chil","399-2-18",5,0,0,0,0,0,1,1,29,"chil-399-2",2018
"chil","400-2-18",3,2,1,1,1,0,0,0,36,"chil-400-2",2018
"chil","401-2-18",5,0,1,0,0,0,5,2,36,"chil-401-2",2018
"chil","402-2-18",3,0,0,0,4,0,15,3,36,"chil-402-2",2018
"chil","404-2-18",1,0,0,0,0,0,4,1,35,"chil-404-2",2018
"chil","405-2-18",9,5,5,2,1,0,3,10,36,"chil-405-2",2018
"chil","406-2-18",15,1,6,0,7,0,14,11,29,"chil-406-2",2018
"chil","407-2-18",0,0,0,0,1,0,3,4,28,"chil-407-2",2018
"chil","408-2-18",3,0,9,0,0,0,0,0,28,"chil-408-2",2018
"chil","409-2-18",14,2,4,6,24,0,15,8,28,"chil-409-2",2018
"chil","410-2-18",5,0,8,11,0,0,6,2,28,"chil-410-2",2018
"chil","411-2-18",0,0,0,0,0,0,4,0,28,"chil-411-2",2018
"chil","414-2-18",13,5,0,2,3,0,2,0,36,"chil-414-2",2018
"chil","416-2-18",4,1,0,2,1,0,1,0,36,"chil-416-2",2018
"chil","417-2-18",0,0,0,1,0,0,6,0,28,"chil-417-2",2018
